ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core1_core,store_dram,hart_0,Accumulator,57613899000,0,1,1,1,1,1
system_pxn0_pod0_core1_core,atomic_dram,hart_0,Accumulator,57613899000,0,27804,27804,27804,1,1
system_pxn0_pod0_core1_core,load_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,store_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,atomic_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,useful_load_l1sp,hart_0,Accumulator,57613899000,0,408657,408657,408657,1,1
system_pxn0_pod0_core1_core,useful_store_l1sp,hart_0,Accumulator,57613899000,0,219144,219144,219144,1,1
system_pxn0_pod0_core1_core,useful_atomic_l1sp,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,useful_load_l2sp,hart_0,Accumulator,57613899000,0,5545,5545,5545,1,1
system_pxn0_pod0_core1_core,useful_store_l2sp,hart_0,Accumulator,57613899000,0,587,587,587,1,1
system_pxn0_pod0_core1_core,useful_atomic_l2sp,hart_0,Accumulator,57613899000,0,126,126,126,1,1
system_pxn0_pod0_core1_core,useful_load_dram,hart_0,Accumulator,57613899000,0,30301,30301,30301,1,1
system_pxn0_pod0_core1_core,useful_store_dram,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,useful_atomic_dram,hart_0,Accumulator,57613899000,0,27775,27775,27775,1,1
system_pxn0_pod0_core1_core,pgas_translations,,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,l2sp_interarrival,,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,busy_cycles,,Accumulator,57613899000,0,3730545,3730545,3730545,1,1
system_pxn0_pod0_core1_core,stall_cycles,,Accumulator,57613899000,0,24049704,644015433282,69127,1,755130
system_pxn0_pod0_core1_core,icache_miss,,Accumulator,57613899000,0,2802,2802,2802,1,1
system_pxn0_pod0_core1_core,memory_wait_cycles,,Accumulator,57613899000,0,29385473,29385473,29385473,1,1
system_pxn0_pod0_core1_core,active_idle_cycles,,Accumulator,57613899000,0,69127,69127,69127,1,1
system_pxn0_pod0_core1_core,load_latency_total,,Accumulator,57613899000,0,29385473,11272871627,1257664,2,753
